,Unnamed: 0,X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,Block
92,92,-78.50567626987402,38.05855941847422,3008,93,13220,Barracks Road at Bennington Road,38.05855942,-78.50567627,510030108003006
93,93,-78.47350311220627,38.09104919513439,3009,94,13231,Berkmar Drive at UVA Credit Union,38.09104919,-78.47350311,510030108001004
94,94,-78.50434875579596,38.048988342229315,3010,95,13265,BRSC at Arlington Blvd Southbound,38.04898834,-78.50434875,515400007003011
95,95,-78.47232818545909,38.09283447283251,3011,96,13277,Berkmar Drive opposite SPCA,38.09283447,-78.47232819,510030108001004
96,96,-78.46639251676555,38.09832000650041,3012,97,13283,Sam's Club,38.09832001,-78.46639252,510030108001004
97,97,-78.46713256917727,38.09649658274672,3013,98,13296,Walmart,38.09649658,-78.46713257,510030108001004
98,98,-78.47525787437283,38.08325195360503,3014,99,13306,Rio Rd W at Firestone Pl eastbound,38.08325195,-78.47525787,510030107001008
99,99,-78.47796630875641,38.08536529554663,3015,100,13310,Rio Rd W at Berkmar Dr Eastbound,38.0853653,-78.47796631,510030107001003
100,100,-78.46949005120538,38.031906127214896,3016,101,13685,East High Street at Grove Avenue (westbound),38.03190613,-78.46949005,515400003021021
101,101,-78.46437835665905,38.03207397395203,3017,102,13692,East High Street at Stewart Street (eastbound),38.03207397,-78.46437836,515400003021024
102,102,-78.46936798188526,38.03179931641459,3018,103,13721,East High Street at Grove Avenue (eastbound),38.03179932,-78.46936798,515400003021026
103,103,-78.44279479901421,38.028560638128155,3019,104,13784,Abbey Road at Division of Motor Vehicles,38.02856064,-78.4427948,510030105003000
104,104,-78.48651123067384,38.03884887778347,3020,105,13807,Rose Hill Drive at Henry Avenue (northbound),38.03884888,-78.48651123,515400002012018
105,105,-78.48647308361731,38.03916168206187,3021,106,13811,Rose Hill Drive at Henry Avenue (southbound),38.03916168,-78.48647308,515400002012001
106,106,-78.48818206842262,38.03755187982263,3022,107,13824,Rose Hill Drive at Dale Avenue (southbound),38.03755188,-78.48818207,515400002012010
107,107,-78.48352813648904,38.04559707679453,3023,108,13853,Rose Hill Drive at Rugby Ave Northbound,38.04559708,-78.48352814,515400007001008
108,108,-78.48410034154622,38.04275894155839,3024,109,13882,Rose Hill Drive at Health Department (southbound),38.04275894,-78.48410034,515400002011007
109,109,-78.4389648430203,38.027782439844735,3025,110,13895,Social Security Administration,38.02778244,-78.43896484,510030105002030
110,110,-78.44062042317776,38.02284240772143,3026,111,13914,Martha Jefferson Outpatient Center,38.02284241,-78.44062042,510030105003017
111,111,-78.48449706933954,38.051063537463534,3027,112,13933,Del Mar Drive at Oakleaf Lane northbound,38.05106354,-78.48449707,515400007001007
112,112,-78.48391723607502,38.042770384925156,3028,113,13967,Rose Hill Drive at Health Department (northbound),38.04277039,-78.48391724,515400002011008
113,113,-78.48799896290002,38.03749847447817,3029,114,13979,Rose Hill Drive at Dale Avenue (northbound),38.03749847,-78.48799896,515400002012016
114,114,-78.48402404892845,38.04127502470635,3030,115,13980,Rose Hill Drive at Madison Avenue,38.04127502,-78.48402405,515400002012000
115,115,-78.49192047148509,38.038112639760605,3031,116,13998,10th Street at Grady Avenue Southbound,38.03811264,-78.49192047,515400002021003
116,116,-78.4915466312449,38.02234649700194,3032,117,14007,Ridge St at Hartman's Mill Rd southbound,38.02234650000001,-78.49154663,515400004012010
117,117,-78.49208831719831,38.04167175373119,3033,118,14024,Preston Avenue at Madison Avenue (northbound),38.04167175,-78.49208832,515400002012001
118,118,-78.49412536699526,38.048576355456134,3034,119,14030,Barracks Rd opposite Howard Dr,38.04857636,-78.49412537,515400007002017
119,119,-78.49388122486597,38.019443512346,3035,120,14076,Brookwood Dr at Ridge St,38.01944351,-78.49388123,515400004012006
120,120,-78.4572372439413,38.03134536790783,3036,121,14095,Pantops Shopping Center at Food Lion,38.03134537,-78.45723724,510030105003001
121,121,-78.49155425938862,38.03969192510342,3037,122,14133,Preston Ave at Washington Park northbound,38.03969192,-78.49155426,515400002012001
122,122,-78.46533966098445,38.03195190424756,3038,123,14167,East High Street at Stewart Street (westbound),38.0319519,-78.46533966,515400003021017
123,123,-78.49812316994834,38.051685332754495,3039,124,14180,Barracks Road at Hessian Road,38.05168533,-78.49812317,515400007002013
124,124,-78.48988342250755,38.02432251000607,3040,125,14216,Ridge St at Barksdale St northbound,38.02432251,-78.48988342,515400004011016
125,125,-78.4809188844837,38.02523803764045,3041,126,14228,Monticello Avenue at 6th Street SE Eastbound,38.02523804,-78.48091888,515400004011004
126,126,-78.48210907031864,38.02660369934202,3042,127,14237,Monticello Avenue at 2nd Street SE Eastbound,38.0266037,-78.48210907,515400004011004
127,127,-78.48536682077729,38.0350456229592,3043,128,14244,Preston Avenue at Harris Street (westbound),38.03504562,-78.48536682,515400010002023
128,128,-78.48841857889238,38.03678512634009,3044,129,14271,Preston Ave at 8th St southbound,38.03678513,-78.48841858,515400002021015
129,129,-78.46263122649823,38.03289794880196,3045,130,14285,East High Street at Hazel Street Westbound,38.03289795,-78.46263123,515400003021016
130,130,-78.48565673919131,38.023517609368895,3046,131,14292,1st Street South at Elliott Avenue,38.02351761,-78.48565674,515400004011015
131,131,-78.48605346784709,38.0351715090946,3047,132,14325,Preston Avenue at Harris Street (eastbound),38.03517151,-78.48605347,515400010001014
132,132,-78.49163055414046,38.03959274218066,3048,133,14339,Preston Avenue at Washington Park southbound,38.03959274,-78.49163055,515400002012014
133,133,-78.48557281540634,38.063694000450724,3049,134,14373,Marshall's at Seminole Square Shopping Center,38.063694,-78.48557281,515400008004001
134,134,-78.50150298970895,38.05515670774969,3050,135,14387,Barracks Road at Cedars Court (southbound),38.05515671,-78.50150299,515400007003003
135,135,-78.49320221044556,38.046718597029155,3051,136,14394,Preston Ave at Rugby Avenue southbound,38.0467186,-78.49320221,515400007002013
136,136,-78.50659179589655,38.05902099679832,3052,137,14413,Barracks Road at Surrey Road,38.059021,-78.5065918,510030108005026
137,137,-78.49687194813326,38.06795883144796,3053,138,14445,Hydraulic Road at Turtle Creek Road northbound,38.06795883,-78.49687195,510030107003000
138,138,-78.49982452438282,38.07067489565172,3054,139,14450,Georgetown Road at Hydraulic Road (southbound),38.0706749,-78.49982452,510030108001024
139,139,-78.49539184646763,38.06770324691094,3055,140,14466,Commonwealth Drive at Hydraulic Road (Southbound),38.06770325,-78.49539185,510030107003000
140,140,-78.49367523088452,38.069252013847155,3056,141,14478,Commonwealth Drive at Northwest Drive (southbound),38.06925201,-78.49367523,510030107003000
141,141,-78.49169158906906,38.07075881999624,3057,142,14484,Commonwealth Drive at Trophy Chase Apartments,38.07075882,-78.49169159,510030107003000
142,142,-78.48975372259773,38.07253646854643,3058,143,14497,Commonwealth Drive at Greenbrier Drive (SB),38.07253647,-78.48975372,510030107003000
143,143,-78.48596954288541,38.07383346487098,3059,144,14506,Commonwealth Drive at Westfield Road (southbound),38.07383347,-78.48596954,510030107002001
144,144,-78.48276519765581,38.076522826996076,3060,145,14510,Commonwealth Drive at Commonwealth Circle,38.07652283,-78.4827652,510030107002000
145,145,-78.50274658237744,38.02434158321219,3061,146,14523,Cherry Ave at Rock Creek Rd Northbound,38.02434158,-78.50274658,515400005013002
146,146,-78.50087738057431,38.02598953225662,3062,147,14534,Cherry Avenue at Hanover Street (eastbound),38.02598953,-78.50087738,515400005012010
147,147,-78.49684143159958,38.02845382647673,3063,148,14547,Cherry Avenue at 10th Street SW eastbound,38.02845383,-78.49684143,515400005012013
148,148,-78.48661804178529,38.07954406769381,3064,149,14568,Four Seasons Drive opposite ACAC,38.07954407,-78.48661804,510030107002010
